Organization,City,State,Company Website Address,College All or Specific Majors,College Majors Ag/Life Sciences,College Majors Bus/Comm,College Majors Ed/Human Dev,College Majors Lang/Letters,College Majors Perf/Visual Arts,College Majors Ph Sciences/Engineering,College Majors Found/Interd Studies,Company Paragraph,Organization Type,Cost of Tuition?,Average Time to Graduation?,Industry Job Outlook?,Placement Rate?,Booths-Employer,Booths-Graduate School,Booths-On Campus Group
The Sherwin-Williams Company,Bellevue,WA,3326 160th Ave SE,All Majors,,,,,,,,"Sherwin-Williams is the largest paints and coatings company in the world. With $15.8 billion in sales, more than 4,100 stores, and 140 manufacturing and distribution centers worldwide. Our 60,000 employees across the globe are diverse, innovative and passionate. With a variety of rewarding and challenging opportunities, Sherwin-Williams is a great place to launch and grow a career. Find yours and join us today.",Employer,,,,,A-1,,
"The Yard Butler, LLC",Idaho Falls,ID,3770 American Way,Specific Majors,Horticulture,"Applied Management   ,Business Management - Marketing",,,,Construction Management,,"We are a landscape construction, landscape maintenance and snow removal company based in Idaho Falls, ID.",Employer,,,,,A-6,,
Topo Financial,Rexburg,ID,147 N 2nd E,All Majors,,,,,,,,"We take life insurance personally.
We are a boutique-style, full service brokerage that takes insurance personally. We cater to the individual as we meet the unique needs of clients, the agents who support them, and future team members who want to kickstart their financial career.

Give us a call and let us personally show you how Topo Financial can make a huge impact on your insurance and financial planning journey.",Employer,,,,,"J-3,J-4",,
Tuck Landscape,Murray,UT,www.tucklandscape.com,All Majors,,,,,,,,"We are a full service landscape design and maintenance company specializing in high end residential design, install and maintenance. Our website is the best way to see firsthand the kind of work we do. We are looking for individuals with a passion for the aesthetics that a well designed and maintained landscape can bring to individuals and communities. We also work in the snow removal industry in the winter season. We offer a wide range of employment opportunities from laborers to designers and project/account managers.",Employer,,,,,B-10,,
University  of Utah,Salt Lake City,UT,http://pharmacy.utah.edu/,All Majors,,,,,,,,"The University of Utah College of Pharmacy Program graduates high-quality professional pharmacy practitioners possessing the pharmacotherapeutic knowledge, professional abilities and expertise, and social cognizance to provide the highest standards in pharmacy care, patient-specific drug therapy, drug therapy information dissemination, and the knowledge to educate others about the manner in which drug therapy optimizes health care outcomes.",Graduate School,NA,4 Yrs,NA,NA,,K-11,
University of Idaho,Idaho Falls,ID,"1776 SCIENCE CENTER DR, TAB 306",All Majors,,,,,,,,"The University of Idaho, Idaho Falls delivers advanced education and research programs addressing state and national energy needs in partnership with the Idaho National Laboratory, industry, and other universities.",Graduate School,3744,2,Good,85-90%,,K-10,
University of Idaho,Idaho Falls,ID,"1776 SCIENCE CENTER DR, TAB 306",All Majors,,,,,,,,"The University of Idaho, Idaho Falls delivers advanced education and research programs addressing state and national energy needs in partnership with the Idaho National Laboratory, industry, and other universities.",Graduate School,3744,2,Good,85-90%,,K-9,
University of Idaho,Boise,ID,None,All Majors,,,,,,,,"Graduate programs in planning, landscape architecture and architecture at the University of Idaho's Urban Design Center in Boise provides you with an opportunity to make a difference in the quality of life of communities throughout Idaho and the American West.",Graduate School,"$8,864 per year, full time student",2 years,Excellent,98%,,M-6,
University of Idaho College of Law,Moscow,ID,https://www.uidaho.edu/law,All Majors,,,,,,,,"The University of Idaho College of Law is among the best small state public law schools in the U.S. Recognized by ""preLaw Magazine"" as a Best Value law school, we emphasize quality over quantity. With an average enrollment of about 300 students, we guarantee the personal attention each student deserves.",Graduate School,"$38,622 Non-resident; $20,986 Resident",3 years,N/A,N/A,,K-3,
"University of Idaho, College of Education",Moscow,ID,http://www.uidaho.edu/ed/ci/academic-programs/curriculum-and-instruction,All Majors,,,,,,,,"The Department of Curriculum and Instruction in the College of Education at University of Idaho leads and delivers exceptional hands-on experience for students seeking their graduate degrees and/or certification in education. Currently there are two options for the Master of Education in Curriculum and Instruction (M.Ed. C&I). Option one is designed to (a) serve the professional educator through advanced study, and also to (b) serve those wishing to enter the teaching profession and who have an undergraduate degree in a teaching content area. Option two leads to recommendation to a secondary teaching certification following demonstration of mastery of a secondary school content area while obtaining a master?s degree. 

The Department of Curriculum and Instruction in the College of Education at University of Idaho also offers a Master of Education in Special Education (M.Ed. Sped). The special education master?s degree and certification-only program?s primary emphasis is to provide educational opportunities for certified teachers to obtain a master?s degree in special education with the option of certification in special education. The University of Idaho has become a primary choice for students who wish to complete their degree and certification from a distance. All courses are offered using distance technologies and do not require that a student come to campus. The program has received national accreditation from the National Council for Accreditation of Teacher Education now known as the Council for the Accreditation of Educator Preparation and is a state-approved program in special education. To enter the special education program, an undergraduate degree in education or a similar field is required as well as meeting the university requirements for enrollment in the College of Graduate Studies. Students entering the certification options must already hold a teaching certificate.",Graduate School,Varies,1.5 to 2 years,Excellent,Excellent,,N-14,
University of Oregon-Lundquist College of Business Graduate Programs,Eugene,OR,https://business.uoregon.edu/,Specific Majors,,"Accounting,Business Analytics       ,Business Management - Entrepreneurial Management,Business Management - Finance,Business Management - Marketing,Business Management - Supply Chain Management,Economics ,Financial Economics",,,,,,"The University of Oregon's Lundquist College of Business offers a Master of Accounting, MS in Finance and MBA located in Eugene, Oregon. UO's Accounting faculty are ranked by BYU as #1 in Tax Research and prepares students to pass the CPA exam. UO's MS in Finance focuses on producing a financial analyst by following the CFA curriculum and is STEM-Certified. The Oregon MBA has four centers that focus on Sports Business, Sustainability, Finance and Securities Analysis, or Entrepreneurship and Innovation. All of our programs are a great way to gain access to the Duck Alumni Network anywhere on the West Coast.",Graduate School,Varies by program,"Varies by program, typically 1-2 years","West Coast in Business, Management, Accounting, Finance, Marketing, Sports Business",Varies by industry,,O-5,
University of Utah,Salt Lake City,UT,eccles.utah.edu,All Majors,,,,,,,,"The University of Utah masters' programs offer a deep dive into finance, real estate, information systems, business analytics, healthcare, and accounting.",Graduate School,"Varies per program - approximately $30,000",One Year,Strong,At least 90%,,"L-4,L-5",
University of Utah School of Medicine,Salt Lake,UT,https://medicine.utah.edu/students/programs/md/admissions/,All Majors,,,,,,,,"The University of Utah School of Medicine combines excellence in teaching, research, and clinical expertise to train tomorrow's physicians for the rapidly changing world of medicine. With a faculty of more than 1,000 physicians and researchers and 22 clinical and basic science departments, the School of Medicine trains the majority of Utah physicians, offering an MD degree, physician assistant training, residency, fellowship specialty training, and degrees in public health or research.

The School of Medicine also is widely recognized for interdisciplinary research in the genetics of disease, cancer, biomedical informatics, infectious diseases, and other areas of leading-edge medicine.",Graduate School,"$40,504.66 to $75,589.60",4 years,Outstanding,99%,,K-6,
University of Western States,Portland,OR,www.uws.edu,All Majors,,,,,,,,"University of Western States (UWS), located in Portland, Oregon, offers a world-class, integrated education to students and provides the community with an unsurpassed, natural approach to health and wellness.

Founded in 1904 as a chiropractic college, UWS has evolved into a university offering a variety of health and wellness degrees. We have been a leader in health sciences education through integrated, evidence-informed curricula grounded in our dedication to the most up-to-date health care research and practices. We are committed to honoring our roots in chiropractic by integrating other related fields of study to support a well-balanced and whole-body approach to our wellness education.",Graduate School,Varies,2-4 years,Excellent,above 90%,,L-6,
Upstream Engineering/7 Oaks Group,West Point,UT,7oaksgroup.com,Specific Majors,,,,,,"AAS--Computer Information Systems,AAS--Computer Programming,AAS--Data Science,AAS--Engineering Technology,Applied Software Engineering,Computer Engineering     ,Computer Information Technology,Computer Science     ,Data Science,Software Engineering    ,Web Design and Development - Design,Web Design and Development - Development",,"Upstream Engineering is a cutting edge software development firm that utilizes modern technology and best practices to provide best of class engineering services to our clients. We have a very family friendly, flexible working environment with an engaged team of experienced and passionate Developers, Engineers and Project Managers. We value teamwork and collaboration and believe that it is integral part in building great software.",Employer,,,,,C-5,,
USAA,San Antonio,TX,usaajobs.com,All Majors,,,,,,,,"USAA?s mission is to facilitate the financial security of its members, associates and their families by providing a full range of highly competitive financial products and services. In so doing, we seek to be the provider of choice for the military community. We do this by upholding the highest standards and ensuring that our corporate business activities and individual employee conduct reflect good judgment and common sense, and are consistent with our core values of:
Service, Loyalty, Honesty and Integrity",Employer,,,,,B-1,,
USDA-Natural Resources Conservation Service,Rigby,ID,www.nrcs.usda.gov,Specific Majors,"Agricultural Technology,Agriculture Education,Agronomy, Crop and Soil Sciences,Animal Science,Biology  ,Plant and Wildlife Ecology","Agribusiness  - Agribusiness Management,Agricultural Economics    ,Communication - Public Relations",,,,Civil Engineering,,"USDA-Natural Resources Conservation Service provides leadership to help people conserve, maintain, and protect our natural resources and environment.",Employer,,,,,C-7,,
USHA,Orem,UT,http://www.ushealthadvisor.net,Specific Majors,,"Accounting,Applied Management   ,Business Analytics       ,Business Management - Entrepreneurial Management,Business Management - Finance,Business Management - Marketing,Communication - Advertising,Communication - Visual Communication,Economics ,Financial Economics",,,,,General Studies,"USHA Benefit Advisors can make a real difference in people's lives. You'll work directly with Americas self-employed, small business owners and individuals to help them access an array of innovative and affordable business and benefit solutions. Our trusted advisors planning can impact, and protect, families for generations. We pride ourselves on being a unified company who share our values of commitment and dedication with our clients. As a result of current economic conditions, our clients are looking for viable alternatives to their current benefit programs and the demand for our products and services has never been greater!",Employer,,,,,F-8,,
Utah State University - CEHS,Logan,UT,cehs.usu.edu,All Majors,,,,,,,,"Utah State University's Emma Eccles Jones College of Education and Human Services houses 28 degree programs in departments: Communicative Disorders and Deaf Education; Family, Consumer, and Human Development; Kinesiology and Health Science; Instructional Technology and Learning Sciences; Psychology; Special Education and Rehabilitation; and Teacher Education and Leadership. The College offers a wide range of professional, clinical, and research degrees at both the master's and doctoral levels, with degrees being offered in both on campus and through distance delivery. Typical majors accepted: master's and doctoral students in all areas of education and human services.",Graduate School,3000,4 years,Escellent,Excellent,,K-8,
Utah State University - MBA,Logan,UT,huntsmanmba.com,All Majors,,,,,,,,"Utah State University?s Jon M. Huntsman School of Business MBA allows you to feed your entrepreneurial spirit, further your ethical leadership, and experience a global vision. We offer a variety of MBA programs to meet your specific needs.",Graduate School,"30,000",1 year,Varied,90%,,N-3,
Utah Valley University,Orem,UT,uvu.edu/mba,All Majors,,,,,,,,Utah Valley University is recruiting for the Master of Business and the Master of Accountancy. Designed to help excel your career in the business and accounting sectors.,Graduate School,$16000-$24000,1-2 Years,8-10% Growth,70-80%,,N-6,
Valley Agronomics LLC,Rexburg,id,valleywidecoop.com,Specific Majors,"AAS--Beef Production Management,AAS--Plant Science and Technology,Agricultural Engineering Technology,Agricultural Technology,Agriculture Education,Agronomy, Crop and Soil Sciences,Animal Science,Horticulture",,,,,,,"Valley Agronomics is a local CO-OP providing farm inputs such as Fertilizer, Herbicides, Seed and Services. We are looking for Full Time, Part Time and Seasonal employees each year. Valley Agronomics strives to serve our customers with the best products and services available in the Agriculture world today. Looking for a career in Agriculture, Valley Agronomics offers a wide range of jobs from operations, sales, services and technology.",Employer,,,,,B-6,,
Vanguard,Scottsdale,AZ,https://www.vanguardjobs.com/,All Majors,,,,,,,,"Vanguard is one of the world's largest investment companies, offering a large selection of low-cost mutual funds, ETFs, advice, and related services. Individual and institutional investors, financial professionals, and plan sponsors can benefit from the expertise, stability, and reliable investment approach Vanguard offers. From our beginning in 1975, Vanguard set course as a very different kind of investment firm. Our purpose remains: ""To take a stand for all investors, to treat them fairly, and to give them the best chance for investment success.""",Employer,,,,,A-10,,
"Wada Farms, Inc.",Pingree,ID,www.wadafarms.com,Specific Majors,"Agricultural Engineering Technology,Agricultural Technology,Agronomy, Crop and Soil Sciences","Agribusiness  - Agribusiness Management,Agribusiness  - Global Food and Agribusiness Management",,,,"AAS--Engineering Technology,AAS--Welding Engineering Technology,Mechanical Engineering",,"Wada Farms has a 70+ year history of pride, excellence and an obsession for providing things of intrinsic value to our customers and partners.  We have a reputation not just for quality, but for leadership in new ways of doing things and understanding trends and opportunities. Wada Farms Inc. has grown into a successful Idaho-based agribusiness, now farming nearly 30,000 irrigated acres of crops each and every year.  As a fully integrated grower-shipper of Russet, red, gold and specialty varieties, Wada Farms Potatoes operates one of the largest fresh potato packing facilities in the country.",Employer,,,,,G-10,,
Walmart Corporate,Bentonville,AR,careers.walmart.com,Specific Majors,,,,,,"AAS--Computer Information Systems,AAS--Computer Programming,AAS--Data Science,AAS--Electrical and Computer Engineering,AAS--Engineering Technology,Applied Software Engineering,Computer Engineering     ,Computer Information Technology,Computer Science     ,Data Science,Software Engineering    ,Web Design and Development - Design,Web Design and Development - Development",,"https://www.walmartlabs.com/
Walmart Labs teams serves our customer throughout their shopping journey, no matter how one choses to shop Walmart ? in stores, on a mobile device, online, or even through voice. Starting with customer acquisition, we build scalable data driven platforms and applications in advertising technology and personalization. We provide technology to power best-in-class store shopping experiences for our millions of customers and delightful and seamless experience to our customers in-store, online and via mobile. From the moment a customer decides to shop with us, till they checkout either in store or digitally, we are there to provide a satisfying experience.",Employer,,,,,"F-9,F-10,F-11",,
Weber State University,Layton,ut,weber.edu/mba,All Majors,,,,,,,,"Weber State University offer three graduate business programs, the MBA, Master of Accounting, and the Master of Taxation, the only program of its kind in the state of Utah",Graduate School,"$12,000 - $33,000",2 years,Strong,N/A,,O-4,
Weber State University,Ogden,UT,http://www.weber.edu/emha/,Specific Majors,Healthcare Administration,"Business Management - Entrepreneurial Management,Business Management - Finance,Business Management - Marketing,Business Management - Supply Chain Management,Economics ,Financial Economics",,,,,,"The need for qualified healthcare management professionals has never been greater. Weber State University's Executive Master of Health Administration degree is designed for working professionals who may not have the ability to travel to a traditional campus.

ACCELERATED PROGRAM The entire program can be completed in just five semesters.
NO GRE/GMAT REQUIRED for applicants with five years experience.
HYBRID FORMAT Each course combines the convenience of online classes with the benefit of face-to-face instruction.
MEET JUST ONCE PER SEMESTER Students spend a day and a half on campus each semester and the rest of the work is conducted online. At the end of the program, students also present their final project on campus.",Graduate School,$35.00 ,5 semesters,excellent,95%,,O-3,
Weber State University Master of Science in Nursing Program,Ogden,UT,weber.edu/msn,Specific Majors,"Associate of Science in Nursing    ,Bachelor of Science in Nursing (ASN to BSN)",,,,,,,The Annie Taylor Dee School of Nursing at Weber State University offers 3 Graduate Nursing Programs.  A Family Nurse Practitioner Program; a Nurse Leader: Executive Program; a Nurse Leader: Educator program.  The latter two are 100% online and can be done nationwide in most states.  Weber.edu/msn,Graduate School,"$4,200 per semester",4 to 5 semesters,Excellent,Excellent,,K-12,
Western AgCredit,South Jordan,UT,www.westernagcredit.com,Specific Majors,,"Agribusiness  - Agribusiness Management,Agribusiness  - Global Food and Agribusiness Management,Agricultural Economics",,,,,,"Western AgCredit is part of the nationwide Farm Credit System established in 1916.  Through federal authorities granted to our Association, we provide financially related services to agriculture. That?s our only business!

Western AgCredit is the leader within the agricultural finance industry in the entire state of Utah and parts of Wyoming, Nevada and Arizona.  Western AgCredit serves people involved in the business of agriculture, including: farmers, ranchers, nursery and greenhouse operators, forest products businesses, part-time farmers, agribusinesses and rural property owners.",Employer,,,,,A-4,,
Western University of Health Sciences,Pomona,CA,www.westernu.edu,All Majors,,,,,,,,WesternU is one of the largest graduate schools for the health professions in California. Alumni rank among the top leaders in health care and medicine throughout the country and the world.,Graduate School,Varies per program,2-4 years,Health Care,N/A,,K-2,
Wright Physical Therapy,Twin Falls,ID,www.wrightpt.com,Specific Majors,Physical Therapy Assistant,,,,,,,"OUR CORE PURPOSE
We inspire you to create a life of joy through high skilled treatment, innovative solutions, uplifting environments, education, and service.

OUR ENVIRONMENT
Our pristine buildings provide clean, energetic atmospheres. Our Doctors of Physical Therapy are passionate about and are experts in orthopedic and sports medicine rehabilitation.  WPT clinicians assist an ideal range of orthopedic and sports medicine patients to get them back to their daily activities; from the young athlete wanting to rise to the top of their game, to the grandparent wanting to play more with their grand kids. We serve our patients through their injury from start to finish, and provide them with customized treatment plans and robust home exercise programs.",Employer,,,,,O-18,,
Zion Ponderosa,Mt. Carmel,UT,www.zionponderosa.com,All Majors,,,,,,,,"Zion Ponderosa is a full service resort next door to Zion National Park. We offer services to our guests including lodging, food and beverage and recreation. We have seasonal and full time employment options in all departments. Weather you are persuing a career in hospitality or looking for a fun job during your break we may be a great fit for you. We offer internship possibilities for many departments including recreation, culinary, equestrian, marketing, and management.",Employer,,,,,F-12,,
